brand,name,current_price,former_price,discount
Costa,Ocean Ridge 110,$106.40,$152,30% Off
Costa,Forest Reef 200,$125,$250,N/A
Burberry,BE2416,$327,N/A,
Dolce & Gabbana,DG3305,$287.70,$411,30% Off
Versace,VE3345,$163,$326,50% Off
Gant,GA4081,$114.50,$229,50% Off
O'Neill,Coral,$139,N/A,
Guess,GM50007,$142,$284,50% Off
Guess,GU2879,$119,$238,50% Off
Ray-Ban Junior,RB1555,$115,N/A,
Persol,PO3347V,$452,N/A,
Randy Jackson,RJ 3037,$93.50,$187,50% Off
Takumi,TK917 With Magnetic Clip-On Lens,$115.74,$209.98,45% Off
Lulu Guinness,L211,$179.42,$299.03,40% Off
Vera Bradley,Carolyn,$174.69,N/A,
Versace,VE3334,$163,$326,50% Off
L.A.M.B.,LA025 - Lark,$214.88,N/A,
Versace,VE3362U,$357,N/A,
Nike,5538,$132,$165,N/A
Persol,PO3246V,$147,$294,50% Off
Guess,GU50087-D,$92.70,$184,50% Off
Ray-Ban,RB5433,$178,N/A,
B.M.E.C. Big Mens,Big Dude,$104.99,$209.97,50% Off
Gucci,GG0385OA - Alternate Fit,$378.25,$445,15% Off
Anna Sui,AS198,$129.92,$199.88,35% Off
Burberry,BE2255QF - Alternate Fit,$160.50,$321,50% Off
Dolce & Gabbana,DG5044,$261,,
Trina Turk,Birdie,$195.50,N/A,
Guess,GU50130,$96,$192,50% Off
Gucci,GG0329O,$230,$460,50% Off
ECO,Isere,$195,N/A,
Vogue,VO4088,$167,N/A,
Oakley,Currency,$276,N/A,
Oakley Youth,Doting,$135,N/A,
Guess,GU2935,$96,$192,50% Off
Burberry,BE1354 Martha,$224.70,$321,30% Off
Lafont Kids,ABC,$319,N/A,
Ted Baker,B954,$121.99,$203.32,40% Off
Versace,VE3317F,$128,$256,50% Off
Polinelli Milano Readers,P301,$40,N/A,N/A
Ray-Ban,RB7153,$71.50,$143,50% Off
Tura,R535,$145.90,$182.38,20% Off
Hackett,HEB 182-Bespoke,$242.89,$269.88,10% Off
Dolce & Gabbana,DG5025,$306,N/A,
Armani Exchange,AX1018,$107.10,$153,30% Off
